PSRJ lambda beta
J1844-0452 -78.4535 18.1267
J1844-0502 -78.326 17.9554
J1844-0538 -78.5025 17.3577
J1845+0623 -77.1094 29.335
J1845+21 -75.2375 44.7144
J1845-0028g -77.6303 22.4837
J1845-0316 -77.8269 19.6878
J1845-0434 -78.022 18.3918
J1845-0545 -78.1079 17.2144
J1845-0635 -78.3133 16.393
J1845-0743 -78.1966 15.2424
J1845-0826 -78.4759 14.5451
J1845-1114 -78.5382 11.7488
J1845-1351 -78.8926 9.1396
J1846+0051 -77.2172 23.7832
J1846+0919 -76.4255 32.2233
J1846-0257 -77.6997 19.9868
J1846-0258 -77.6594 19.9685
J1846-0749 -78.1085 15.1398
J1846-07492 -78.1584 15.1461
J1846-4249 -81.0619 -19.7335
J1846-7403 -85.0017 -50.8124
J1847+01 -77.0865 24.1298
J1847+0110g -77.0096 24.0733
J1847+0133g -77.0722 24.4633
J1847+0614g -76.4397 29.1145
J1847-0130 -77.2125 21.4
J1847-0402 -77.5015 18.8895
J1847-0427 -77.5579 18.4635
J1847-0438 -77.4904 18.2861
J1847-0443 -77.4378 18.1923
J1847-0605 -77.694 16.8478
J1848+0127g -76.7268 24.3344
J1848+0150g -76.578 24.7136
J1848+0351 -76.3727 26.725
J1848+0604 -76.0762 28.9298
J1848+0647 -75.9907 29.6384
J1848+0826 -75.8621 31.2866
J1848+12 -75.4004 35.6601
J1848+1516 -74.9483 38.0811
J1848-0023 -76.8237 22.4968
J1848-0055 -76.8428 21.9529
J1848-0123 -76.986 21.4948
J1848-0511 -77.3799 17.7185
J1848-0601 -77.4321 16.8948
J1848-1150 -77.9825 11.1021
J1848-1243 -78.0334 10.2141
J1848-1414 -78.0768 8.6991
J1848-1952 -78.6373 3.089
J1849+0001g -76.5807 22.8827
J1849+0009g -76.4817 23.0081
J1849+0016g -76.3977 23.118
J1849+0037g -76.4977 23.4782
J1849+0106 -76.3236 23.955
J1849+0127 -76.3385 24.3079
J1849+0225g -76.3816 25.2761
J1849+0339g -76.0582 26.4873
J1849+0409 -76.2423 27.0172
J1849+0430 -76.0329 27.3494
J1849+2423 -73.3056 47.1196
J1849+2559 -72.9283 48.7036
J1849-0001 -76.6807 22.8528
J1849-0014g -76.5697 22.6307
J1849-0019g -76.65 22.5538
J1849-0040 -76.7065 22.2016
J1849-0317 -76.7515 19.5747
J1849-0614 -77.0872 16.6414
J1849-0636 -77.2885 16.2806
J1850+0011g -76.3791 23.0327
J1850+0026 -76.1671 23.2725
J1850+0124 -76.2667 24.2547
J1850+0242 -75.9432 25.5389
J1850+0423 -75.8465 27.2083
J1850+1335 -74.6748 36.3684
J1850+15 -74.5429 38.3023
J1850-0002g -76.4192 22.8186
J1850-0006 -76.2111 22.7262
J1850-0020g -76.4226 22.5175
J1850-0026 -76.3939 22.4114
J1850-0031 -76.3185 22.3218
J1851+00 -76.1195 22.9933
J1851+0056g -75.9263 23.7464
J1851+0118 -75.7713 24.1174
J1851+0233 -75.8338 25.3755
J1851+0241 -75.7687 25.4963
J1851+0418 -75.6704 27.1099
J1851+1259 -74.5679 35.7489
J1851-0029 -75.9502 22.309
J1851-0053 -76.2225 21.9456
J1851-0114 -76.1993 21.5902
J1851-0241 -76.3514 20.1423
J1851-0633 -76.6168 16.2774
J1852+0008 -75.6688 22.922
J1852+0013 -75.663 23.0185
J1852+0018g -75.7089 23.0905
J1852+0031 -75.6955 23.3243
J1852+0033 -75.6065 23.3382
J1852+0040 -75.6303 23.4573
J1852+0056g -75.7134 23.7273
J1852+0158g -75.4648 24.7432
J1852+0305 -75.3932 25.8604
J1852+0309g -75.4853 25.9343
J1852+0857g -74.6807 31.6924
J1852-0000 -75.6958 22.7807
J1852-0002g -75.8343 22.7669
J1852-0024g -75.855 22.4004
J1852-0033g -75.817 22.2462
J1852-0039g -75.8946 22.1527
J1852-0044g -75.8318 22.0633
J1852-0055g -75.8689 21.8825
J1852-0118 -75.9354 21.4992
J1852-0127 -76.0115 21.353
J1852-0635 -76.295 16.2115
J1852-13 -77.111 9.7441
J1852-2610 -78.1115 -3.276
J1853+0009 -75.4161 22.8961
J1853+0011 -75.4503 22.9581
J1853+0013g -75.3439 22.9732
J1853+0023g -75.5196 23.1569
J1853+0029 -75.4731 23.2598
J1853+0056 -75.3554 23.7111
J1853+0237g -75.0584 25.3591
J1853+0259 -75.2082 25.7549
J1853+0312g -75.1851 25.9572
J1853+0427 -74.8919 27.1983
J1853+0505 -75.017 27.8424
J1853+0545 -74.6841 28.49
J1853+0853 -74.4718 31.6109
J1853+1303 -73.7427 35.7434
J1853-0003g -75.5034 22.72
J1853-0004 -75.5105 22.6945
J1853-0008g -75.5663 22.642
J1853-0649 -76.1973 15.9778
J1853-0842A -76.4731 14.1106
J1854+0012g -75.2332 22.9461
J1854+0050 -75.0474 23.5702
J1854+0131g -75.0141 24.2491
J1854+0306 -74.9753 25.8411
J1854+0317 -74.8336 26.0169
J1854+0319 -74.9637 26.0575
J1854+0704g -74.3715 29.7695
J1854+1050 -73.8995 33.4594
J1854+36 -68.8408 58.4517
J1854-0033g -75.2616 22.1949
J1854-0524 -75.6663 17.3523
J1854-1421 -76.6027 8.4478
J1854-1557 -76.7192 6.8458
J1855+0139g -74.8171 24.3644
J1855+0205 -74.6383 24.7932
J1855+0228g -74.5813 25.163
J1855+0235g -74.5493 25.2773
J1855+0306 -74.5369 25.802
J1855+0307 -74.5886 25.823
J1855+0327g -74.4654 26.1408
J1855+0339g -74.4554 26.341
J1855+0422 -74.3708 27.0668
J1855+0424g -74.5603 27.1053
J1855+0455g -74.4285 27.6124
J1855+0511g -74.4101 27.8788
J1855+0527 -74.3619 28.1538
J1855+0626 -74.1935 29.1303
J1855+0700 -74.1573 29.6925
J1855-0941 -76.015 13.0872
J1855-1436 -76.3427 8.1766
J1856+0011g -74.5603 22.8647
J1856+0102 -74.5498 23.7215
J1856+0113 -74.6091 23.9146
J1856+0211g -74.3041 24.8511
J1856+0243g -74.4787 25.4045
J1856+0245 -74.2446 25.4284
J1856+0404 -74.1983 26.7424
J1856+0615g -73.8701 28.8997
J1856+0912 -73.5101 31.8417
J1856-0526 -75.2963 17.2738
J1856-3754 -78.4819 -15.0346
J1857+0057 -74.4132 23.626
J1857+0143 -74.1758 24.3821
J1857+0210 -74.0857 24.8289
J1857+0212 -74.0697 24.8561
J1857+0214g -74.2297 24.894
J1857+0224g -74.2098 25.0597
J1857+0300 -74.0959 25.6593
J1857+0526 -73.7998 28.079
J1857+0809 -73.4796 30.7747
J1857+0943 -73.1365 32.3215
J1857-1027 -75.5458 12.2714
J1858+0026g -74.1847 23.0789
J1858+0215 -73.9097 24.8895
J1858+0239 -73.8578 25.2907
J1858+0241 -73.6903 25.3033
J1858+0244g -73.9271 25.3669
J1858+0310g -73.8557 25.7958
J1858+0319 -73.6715 25.9342
J1858+0346 -73.7001 26.3945
J1858+0609g -73.4554 28.7579
J1858-0024g -74.0988 22.2319
J1858-0736 -74.9184 15.0571
J1858-2216 -76.5347 0.4783
J1858-5422 -80.1531 -31.3886
J1859+00 -73.7014 23.2309
J1859+0026g -73.6761 23.0271
J1859+0126g -73.7486 24.0408
J1859+0239g -73.5851 25.2484
J1859+0313g -73.4316 25.803
J1859+0345 -73.4694 26.3596
J1859+0430g -73.3884 27.0903
J1859+0434g -73.2361 27.1418
J1859+0601 -73.0221 28.5924
J1859+0603 -73.0343 28.6296
J1859+0658g -73.0887 29.5429
J1859+07 -73.1078 29.5784
J1859+1526 -71.6422 37.9287
J1859+7654 72.685 78.7208
J1900+0213g -73.3927 24.7924
J1900+0227 -73.2409 25.0204
J1900+0308 -73.0993 25.6913
J1900+0405g -73.0258 26.6333
J1900+0438 -73.0757 27.2054
J1900+0634 -72.7506 29.111
J1900+0715g -72.6864 29.7867
J1900+30 -68.1313 53.1842
J1900-0051 -73.6141 21.7268
J1900-0134 -73.792 21.0159
J1900-0933 -74.6787 13.0748
J1900-2600 -76.3499 -3.2902
J1900-7951 -85.2124 -56.6754
J1901+00 -73.2409 23.0821
J1901+0020g -73.3332 22.8905
J1901+0124 -73.0374 23.9467
J1901+0156 -73.0527 24.4822
J1901+0234 -73.0047 25.1184
J1901+0254 -73.0137 25.4521
J1901+0300 -72.8001 25.5251
J1901+0315g -72.8858 25.7794
J1901+0320 -73.0166 25.8822
J1901+0331 -72.861 26.047
J1901+0355 -72.8111 26.4593
J1901+0413 -72.8666 26.7651
J1901+0435 -72.7177 27.1107
J1901+0459 -72.7333 27.5107
J1901+0510 -72.5199 27.6802
J1901+0511 -72.5884 27.6949
J1901+0621 -72.6019 28.8767
J1901+0659g -72.4258 29.4907
J1901+0712g -72.372 29.7032
J1901+0716 -72.319 29.7745
J1901+1306 -71.3979 35.5601
J1901-0125 -73.4737 21.1359
J1901-0312 -73.767 19.3722
J1901-0315 -73.7696 19.3264
J1901-0906 -74.284 13.4961
J1901-1740 -75.3572 4.997
J1902+0235 -72.7111 25.0935
J1902+0248 -72.5935 25.3105
J1902+0556 -72.2061 28.4165
J1902+0615 -72.1235 28.7455
J1902+0723 -72.1383 29.8773
J1902+0809g -72.0 30.6207
J1902+1141 -71.5571 34.1365
J1902-0340 -73.4066 18.8672
J1902-1036 -74.2459 11.9824
J1902-5105 -79.0091 -28.2501
J1903+0135 -72.573 24.078
J1903+0327 -72.4374 25.938
J1903+0415 -72.2261 26.7176
J1903+0433g -72.2285 27.018
J1903+0534g -72.0417 28.0219
J1903+0601 -72.0153 28.482
J1903+0654 -71.7279 29.3422
J1903+0839g -71.4885 31.0689
J1903+0845g -71.55 31.1765
J1903+0851g -71.688 31.2925
J1903+0912 -71.4517 31.6311
J1903+0925 -71.3557 31.8427
J1903+2225 -69.0315 44.7037
J1903-0258 -73.1481 19.5443
J1903-0632 -73.544 15.9958
J1903-0848 -73.922 13.746
J1903-7051 -82.3034 -47.8476
J1904+0004 -72.5784 22.5418
J1904+0056 -72.4895 23.4199
J1904+0207g -72.168 24.5597
J1904+0358g -72.0177 26.407
J1904+0412 -71.942 26.6353
J1904+0415g -72.0525 26.6963
J1904+0451 -71.7199 27.2793
J1904+0519g -71.895 27.7538
J1904+0535g -71.6525 27.9956
J1904+0553g -71.7731 28.3114
J1904+0603g -71.5857 28.4585
J1904+0738 -71.5629 30.0666
J1904+0800 -71.5281 30.4327
J1904+0823g -71.2807 30.777
J1904+0836g -71.291 30.9966
J1904+0852g -71.1552 31.2504
J1904+1011 -71.2039 32.5934
J1904+33 -66.1548 55.1226
J1904-0150 -72.6322 20.6236
J1904-11 -73.8859 11.0314
J1904-1224 -73.9908 10.1465
J1904-1629 -74.38 6.0758
J1905+0154A -72.0534 24.3378
J1905+0400 -71.7074 26.4089
J1905+0414 -71.8056 26.652
J1905+0450g -71.4482 27.2164
J1905+0600 -71.5328 28.4189
J1905+0616 -71.4843 28.6702
J1905+0656g -71.2083 29.3066
J1905+0709 -71.1348 29.5222
J1905+0758g -71.0396 30.3296
J1905+0902 -71.0112 31.4114
J1905+0920g -71.0168 31.7055
J1905+0936g -70.8988 31.9612
J1905+1034 -70.7667 32.9293
J1905-0056 -72.3745 21.4988
J1906+0055 -71.7656 23.307
J1906+0414 -71.2613 26.5983
J1906+0454 -71.2154 27.2595
J1906+0509 -71.1346 27.5097
J1906+0641 -71.0093 29.0325
J1906+0646g -71.092 29.1253
J1906+0649 -71.0969 29.1897
J1906+0722 -70.9236 29.7268
J1906+0724 -70.9606 29.7554
J1906+0746 -70.7807 30.1055
J1906+0757g -70.7957 30.2849
J1906+0822g -70.7412 30.699
J1906+0912 -70.6547 31.5457
J1906+1854 -68.8617 41.1249
J1907+0249 -71.2597 25.1729
J1907+0255 -71.3571 25.2744
J1907+0345 -71.2541 26.1048
J1907+0534 -70.9481 27.9132
J1907+0602 -70.7339 28.3488
J1907+0631 -70.8995 28.8563
J1907+0658g -70.6908 29.2807
J1907+0709g -70.5547 29.4497
J1907+0731 -70.5078 29.8204
J1907+0740 -70.535 29.9751
J1907+0833 -70.3343 30.8535
J1907+0859 -70.5294 31.309
J1907+0918 -70.3819 31.6078
J1907+0919 -70.4185 31.6259
J1907+1149 -69.8956 34.0937
J1907+1247 -69.8638 35.066
J1907+4002 -61.8753 61.8347
J1907+57 -42.7099 77.6658
J1907-1532 -73.7289 6.9591
J1908+0128 -71.2831 23.8094
J1908+0457 -70.7946 27.2699
J1908+0500 -70.8375 27.3291
J1908+0558 -70.7093 28.2835
J1908+0734 -70.3955 29.8555
J1908+0811g -70.1719 30.4474
J1908+0833 -70.2218 30.8323
J1908+0839 -70.2164 30.9404
J1908+0909 -70.1915 31.429
J1908+0916 -69.9275 31.516
J1908+0949g -70.082 32.0857
J1908+1035g -69.884 32.8365
J1908+1351 -69.2589 36.0739
J1908+2105 -67.7089 43.1985
J1908+2351 -67.2002 45.954
J1909+0007 -71.1264 22.4394
J1909+0254 -70.7171 25.1954
J1909+0616 -70.1531 28.5251
J1909+0641 -70.1933 28.9432
J1909+0657g -70.2237 29.2087
J1909+0749 -70.1139 30.0794
J1909+0905g -69.7659 31.3076
J1909+0912 -69.8355 31.4489
J1909+0930g -69.6594 31.7156
J1909+1102 -69.3941 33.2334
J1909+1132g -69.3653 33.7343
J1909+1148 -69.3438 34.0179
J1909+1205 -69.1972 34.283
J1909+1450 -68.8215 37.0209
J1909+1859 -68.0491 41.1142
J1909-3744 -75.7791 -15.1555
J1910+0225 -70.6426 24.6913
J1910+0358 -70.4204 26.2295
J1910+0435 -70.3187 26.8399
J1910+0517 -70.0871 27.5257
J1910+0534 -70.0985 27.7999
J1910+0710 -69.9064 29.4023
J1910+0714 -69.8752 29.4561
J1910+0728 -69.8206 29.6922
J1910+1017 -69.3384 32.4832
J1910+1026 -69.2042 32.618
J1910+1054g -69.3574 33.0934
J1910+1117g -69.1658 33.4575
J1910+1231 -69.0133 34.6968
J1910+1256 -68.9586 35.1072
J1910+56 -40.9639 77.3217
J1910-0112 -71.1314 21.0944
J1910-0309 -71.3376 19.1397
J1910-0556 -71.7629 16.3923
J1910-5959A -78.8459 -37.2272
J1910-5959B -78.9789 -37.2203
J1910-5959C -78.9503 -37.2572
J1910-5959D -78.9782 -37.2217
J1910-5959E -78.9787 -37.2207
J1910-5959F -78.9793 -37.2226
J1911+00 -70.4637 22.8468
J1911+0101A -70.5689 23.2829
J1911+0101B -70.563 23.2767
J1911+0751g -69.3789 30.0148
J1911+0921 -69.1109 31.513
J1911+0925 -69.0388 31.5645
J1911+0939g -69.1034 31.7993
J1911+1051 -68.8757 32.9915
J1911+1252g -68.5877 34.9873
J1911+1301 -68.5407 35.1407
J1911+1336 -68.2948 35.7082
J1911+1347 -68.2831 35.8864
J1911+1758 -67.4543 40.0217
J1911-1114 -72.0543 11.0881
J1912+0934g -68.8165 31.6794
J1912+1036 -68.6098 32.7097
J1912+1105g -68.6248 33.1886
J1912+1417g -68.0084 36.3484
J1912+2104 -66.5233 43.0449
J1912+2525 -65.5717 47.3351
J1912-0952 -71.7848 12.4241
J1913+0446 -69.2782 26.8892
J1913+0523 -69.3078 27.5307
J1913+0618 -69.1854 28.4271
J1913+0657 -69.0085 29.0659
J1913+0832 -68.8989 30.6467
J1913+0904 -68.7089 31.1731
J1913+0936 -68.4663 31.6805
J1913+1000 -68.6336 32.0951
J1913+1011 -68.5203 32.2719
J1913+1037g -68.2881 32.6742
J1913+1050 -68.3331 32.9065
J1913+1054g -68.4593 32.9825
J1913+1102 -68.3289 33.1024
J1913+11025 -68.2603 33.1086
J1913+1145 -68.1265 33.8093
J1913+1330 -67.9285 35.5548
J1913+1400 -67.8008 36.0503
J1913+3732 -60.8575 59.1318
J1913-0440 -70.6569 17.5273
J1914+0219 -69.5071 24.4557
J1914+0625 -68.9314 28.5106
J1914+0631 -68.8711 28.6195
J1914+0659 -68.7887 29.1016
J1914+0805 -68.667 30.1646
J1914+0838 -68.4727 30.7049
J1914+1029g -68.1676 32.5239
J1914+1054g -68.17 32.9457
J1914+1122 -68.0706 33.4061
J1914+1228g -67.6497 34.4641
J1914+1428 -67.2673 36.4527
J1915+0227 -69.313 24.5654
J1915+0639 -68.3963 28.69
J1915+0738 -68.369 29.6765
J1915+0752 -68.4379 29.9151
J1915+0832g -68.3048 30.5694
J1915+0838 -68.2474 30.6799
J1915+1009 -67.9038 32.1648
J1915+1145 -67.5963 33.7433
J1915+1150 -67.6611 33.8345
J1915+1410 -67.1212 36.1313
J1915+1606 -66.7683 38.0375
J1915+1647 -66.6712 38.7123
J1915-11 -71.3012 10.7304
J1916+0741g -68.1166 29.6853
J1916+0748 -67.9342 29.7792
J1916+0748g -67.8942 29.7739
J1916+0844 -67.9236 30.724
J1916+0852 -67.8726 30.8603
J1916+0951 -67.6606 31.8245
J1916+1023 -67.543 32.3423
J1916+1030 -67.6399 32.4873
J1916+1030g -67.4782 32.451
J1916+1225 -67.242 34.3754
J1916+1312 -66.9021 35.1228
J1916+3224 -62.0821 54.0228
J1916-2939 -73.3089 -7.3205
J1917+0743g -67.7866 29.6753
J1917+0834 -67.5262 30.5159
J1917+1046g -67.0976 32.6702
J1917+1121g -67.1228 33.2643
J1917+1259g -66.799 34.8755
J1917+1353 -66.5644 35.7722
J1917+1411g -66.5751 36.0616
J1917+17 -66.0296 39.2509
J1917+1737 -65.8586 39.4568
J1917+2224 -64.6221 44.1222
J1918+1311 -66.3808 35.0287
J1918+1340g -66.2468 35.4936
J1918+1444 -66.1743 36.5839
J1918+1536g -66.0 37.4207
J1918+1540g -66.0058 37.4891
J1918+1541 -66.0577 37.5173
J1918+1547g -65.9062 37.594
J1918-0642 -69.6854 15.3511
J1918-1052 -70.2751 11.2209
J1919+0021 -68.3458 22.3123
J1919+0134 -68.182 23.5246
J1919+1314 -66.1415 35.0503
J1919+1527g -65.5991 37.2138
J1919+1645 -65.5192 38.5287
J1919+1745 -65.1246 39.4847
J1919+23 -63.6835 45.521
J1919+2621 -62.888 47.9397
J1920+1040 -66.2501 32.4616
J1920+1110 -66.3537 32.9906
J1920+1515g -65.483 36.9948
J1920+2650 -62.4256 48.3716
J1920-0950 -69.5976 12.1841
J1921+0137 -67.6961 23.4991
J1921+0812 -66.4673 29.9983
J1921+0921 -66.2255 31.1235
J1921+1259g -65.6822 34.7226
J1921+1340g -65.4825 35.3878
J1921+1419 -65.3737 36.037
J1921+1505g -65.2068 36.787
J1921+1544 -64.9576 37.4169
J1921+1630 -65.0164 38.2147
J1921+1929 -64.2057 41.124
J1921+1948 -64.2271 41.4555
J1921+2003 -63.9211 41.66
J1921+2153 -63.4878 43.4603
J1921+34 -59.657 55.4429
J1921-05 -68.9102 16.5844
J1921-0510 -68.7689 16.7806
J1922+1131 -65.5296 33.2296
J1922+1733 -64.2107 39.1587
J1922+2018 -63.7756 41.8872
J1922+2110 -63.3148 42.7168
J1922+58 -31.0826 77.6512
J1923+1143g -65.2627 33.3778
J1923+1521g -64.619 36.9744
J1923+1706 -64.2428 38.7017
J1923+2022g -63.202 41.8735
J1923+2515 -62.0191 46.6962
J1923+4243 -54.067 63.5876
J1923-0408 -68.1741 17.7387
J1924+1343g -64.6408 35.3183
J1924+1509g -64.2581 36.7189
J1924+1510g -64.4124 36.7583
J1924+1628 -63.9063 38.0169
J1924+1631 -63.8401 38.0612
J1924+1639 -64.0682 38.2278
J1924+1713 -63.7892 38.7614
J1924+1917 -63.3199 40.7941
J1924+1923g -63.3283 40.8903
J1924+1932g -63.1424 41.0159
J1924+2027g -62.9848 41.9268
J1924+2037g -62.9415 42.0903
J1924+2040 -62.8973 42.1357
J1925+1532g -64.0434 37.0772
J1925+1629g -63.7756 38.0041
J1925+1636g -63.5589 38.0908
J1925+1720 -63.4884 38.8344
J1925+19 -63.0713 40.53
J1925-16 -69.4742 5.9195
J1926+0431 -65.8619 26.1726
J1926+0737 -65.2406 29.2168
J1926+1434 -63.6808 36.0561
J1926+1452g -63.6273 36.3376
J1926+1614 -63.3343 37.6895
J1926+1631g -63.3992 37.9823
J1926+1648 -63.2235 38.2537
J1926+1857g -62.6283 40.3452
J1926+1928 -62.6798 40.8828
J1926+2016 -62.4976 41.6683
J1926-0652 -67.7221 14.9017
J1926-1314 -68.6284 8.6076
J1927+0911 -64.6896 30.7238
J1927+1430g -63.4897 35.9439
J1927+1852 -62.591 40.257
J1927+1856 -62.4983 40.319
J1927+2234 -61.6066 43.8981
J1928+1245 -63.5585 34.1896
J1928+1443 -63.3083 36.1401
J1928+15 -63.1289 36.6185
J1928+1725 -62.4411 38.7623
J1928+1746 -62.4015 39.1131
J1928+1809g -62.4914 39.5091
J1928+1816g -62.442 39.6205
J1928+1839g -62.2035 39.975
J1928+1852g -62.3151 40.2129
J1928+1902g -62.2723 40.3763
J1928+1915g -61.9373 40.5461
J1928+1923 -62.1788 40.7279
J1928+28 -59.6263 49.1456
J1928-0108 -66.3465 20.4958
J1929+00 -65.7677 22.0107
J1929+0132 -65.5053 23.0986
J1929+1357 -63.1694 35.3457
J1929+16 -62.5742 37.6876
J1929+1615g -62.5091 37.5757
J1929+1731g -62.3583 38.8432
J1929+1844 -61.982 40.0428
J1929+19 -61.8185 40.3578
J1929+1937g -61.7902 40.8976
J1929+1955 -61.6714 41.1878
J1929+2121 -61.3482 42.6059
J1929+3817 -54.6697 59.0362
J1929+62 -13.7398 79.5488
J1929+66 6.6662 81.0798
J1930+1316 -63.0808 34.6297
J1930+1357g -62.8728 35.2898
J1930+1403g -62.8207 35.3835
J1930+1408 -62.7933 35.4797
J1930+1722 -61.9616 38.644
J1930+1852 -61.5801 40.1036
J1930+2441 -59.834 45.7753
J1930-1852 -68.6237 2.9132
J1931+1439 -62.2763 35.9202
J1931+1536 -61.9728 36.8457
J1931+1817 -61.3174 39.4631
J1931+1952 -60.8788 41.0137
J1931+30 -57.514 51.475
J1931+42 -51.237 62.9107
J1931-0144 -65.6031 19.7825
J1932+1059 -62.946 32.2916
J1932+1500 -61.8719 36.208
J1932+1756 -61.3344 39.1132
J1932+1916 -60.9185 40.4148
J1932+2020 -60.6859 41.4699
J1932+2220 -60.0374 43.4141
J1932-3655 -71.1123 -14.9755
J1933+0758 -63.2808 29.2694
J1933+1304 -62.1497 34.2902
J1933+1726 -61.0829 38.5717
J1933+1923g -60.393 40.4385
J1933+2038g -60.1261 41.6737
J1933+2421 -58.9463 45.5588
J1933+5335 -37.5505 72.8094
J1933-6211 -76.0382 -39.8859
J1934+1926 -60.2571 40.4775
J1934+2352 -58.8204 44.7902
J1934+5219 -39.1113 71.6218
J1935+1159 -61.8565 33.1274
J1935+1616 -60.6657 37.3097
J1935+1726 -60.5821 38.4844
J1935+1745 -60.3705 38.7686
J1935+1829 -60.1083 39.4796
J1935+2025 -59.5739 41.3731
J1935+2154 -59.3815 42.8461
J1936+1536 -60.7676 36.6446
J1936+18 -60.1179 39.0642
J1936+1952g -59.6419 40.8099
J1936+2036g -59.2241 41.4914
J1936+2042 -59.2637 41.6017
J1936+21 -59.2163 42.0536
J1936+217 -58.797 42.5646
J1937+1505 -60.533 36.0733
J1937+1658 -60.0051 37.9158
J1937+2544 -57.4962 46.4767
J1937+2950 -55.7167 50.4038
J1937-00 -63.8635 20.9792
J1938+0650 -62.2499 27.9472
J1938+14 -60.2832 36.0429
J1938+2010 -58.9029 41.0081
J1938+2012 -58.7328 41.0131
J1938+2213 -58.2628 42.9911
J1938+2659 -56.5322 47.6017
J1938+6604 8.6029 80.1175
J1939+10 -61.0252 31.7289
J1939+2134 -58.0268 42.2968
J1939+2352g -57.2473 44.5094
J1939+2449 -57.1902 45.3731
J1939+2609 -56.4952 46.7419
J1940+0239 -62.3969 23.674
J1940+2245 -57.4061 43.4017
J1940+2337 -57.0844 44.2372
J1940+26 -56.3843 46.5747
J1940-0902 -64.4922 12.195
J1940-24 -67.2661 -2.5122
J1940-2403 -67.1619 -2.5808
J1941+0121 -62.4559 22.4119
J1941+1026 -60.4314 31.3109
J1941+1341 -59.7765 34.5174
J1941+2525 -56.2394 45.9321
J1941+4320 -46.4521 62.972
J1941-0746 -64.2226 13.4345
J1941-2602 -67.3859 -4.5564
J1942+0147 -62.0458 22.8244
J1942+1743 -58.4382 38.4105
J1942+3941 -49.0217 59.5463
J1942+8106 75.7959 74.1243
J1942-2019 -65.9917 0.999
J1943+0609 -60.856 27.0254
J1943+2210 -56.7301 42.6761
J1943+5815 -22.7184 75.6052
J1943-1237 -64.5103 8.5522
J1944+0907 -60.0046 29.891
J1944+1755 -57.6359 38.4771
J1944+2236 -56.3623 43.0562
J1944-10 -63.9497 10.8356
J1944-1750 -65.2688 3.3966
J1945+07 -59.9396 28.0012
J1945+1211 -58.9726 32.8462
J1945+1834 -57.1316 39.0469
J1945-0040 -61.7552 20.2082
J1946+14 -57.8455 35.2047
J1946+1805 -56.8913 38.5126
J1946+2052 -56.2429 41.2507
J1946+2244 -55.5805 43.0621
J1946+24 -55.2946 44.265
J1946+2535 -54.4584 45.7965
J1946+2611 -54.2529 46.3788
J1946+3417 -50.8012 54.1656
J1946-09 -63.22 12.0096
J1946-1312 -63.7576 7.8262
J1946-2913 -66.6651 -7.9291
J1946-5403 -71.8603 -32.2877
J1947+0915 -58.9671 29.8349
J1947+10 -58.6549 31.2921
J1947+1957 -56.2027 40.2953
J1947+2011g -55.9935 40.4943
J1947-18 -64.6686 2.1367
J1947-4215 -69.1116 -20.7329
J1947-43 -69.2853 -21.4654
J1948+1808 -56.4388 38.4771
J1948+2333 -54.7234 43.7299
J1948+2551 -53.8985 45.9684
J1948+2819 -52.8253 48.3166
J1948+3540 -49.3809 55.3517
J1948-27 -66.01 -5.7816
J1949+2306 -54.6287 43.2623
J1949+2516g -53.7089 45.3135
J1949+3106 -51.3426 50.9309
J1949+3426 -49.7778 54.1349
J1949-2524 -65.4019 -4.2669
J1950+05 -58.9489 26.0815
J1950+2352g -53.8112 43.8837
J1950+2414 -53.7301 44.264
J1950+2556g -53.3189 45.9302
J1950+3001 -51.3751 49.817
J1951+1123 -57.4952 31.7478
J1951+4724 -39.1161 66.0117
J1952+1410 -56.4965 34.3617
J1952+2513 -52.8779 45.1149
J1952+2630 -52.3026 46.3306
J1952+2702g -52.1921 46.8553
J1952+2836g -51.3882 48.3294
J1952+3021 -50.7675 50.0405
J1952+3252 -49.351 52.4058
J1953+1149 -56.6348 32.0316
J1953+1844g -54.6774 38.7501
J1953+1846A -54.6509 38.7922
J1953+1846B -54.6509 38.7922
J1953+1846C -54.6509 38.7922
J1953+1846D -54.6509 38.7922
J1953+2732 -51.7239 47.2979
J1953+2819 -51.2549 48.0192
J1953+30 -50.3587 49.8147
J1954+1021 -56.7889 30.5482
J1954+2407 -52.7788 43.9462
J1954+2529 -52.166 45.2473
J1954+2836 -50.9071 48.2362
J1954+2923 -50.5467 48.9858
J1954+3852 -45.5 57.9879
J1954+4357 -41.3083 62.6388
J1955+2527 -51.6695 45.107
J1955+2908 -50.3087 48.6845
J1955+2912g -50.3103 48.7419
J1955+2930 -50.2528 49.0585
J1955+5059 -32.9543 68.7988
J1955+6708 16.1784 78.7215
J1955-0907 -60.7798 11.4267
J1956+07 -57.0218 27.4304
J1956+0838 -56.6013 28.7526
J1956+2826g -50.2036 47.9193
J1956-2752 -64.3207 -7.0016
J1957+2516 -51.2534 44.832
J1957+2831 -49.9927 47.9762
J1957+5033 -32.7387 68.227
J1957-0002 -58.4229 20.2362
J1958+2846 -49.4673 48.1156
J1958+3033 -48.8209 49.8687
J1958+56 -21.1276 73.2058
J1959+2048 -52.2644 40.4064
J1959+3620 -45.2312 55.2286
J2000+2920 -48.7072 48.5554
J2001+0701 -55.6499 26.9071
J2001+4258 -39.8932 61.2433
J2001-0349 -58.1836 16.3082
J2002+1637 -52.7 36.1699
J2002+30 -47.2754 49.5638
